"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000938.12"	119.678436771708	-2.05903473897616	0.203048653723554	-10.14059783809	3.64859749503264e-24	2.57003153552883e-22
"ENSG00000000971.15"	128.095576824169	-2.14190784864581	0.204809410602548	-10.458053867468	1.34591647515739e-25	1.0437232408881e-23
"ENSG00000004776.11"	76.3125319501518	-3.59504702123519	0.31564070731198	-11.3896811721494	4.70708878801224e-30	4.5384926800918e-28
"ENSG00000005381.7"	31.7577322552788	-1.65330245613586	0.354943039299475	-4.65793739581107	3.19393301662384e-06	3.38594286937906e-05
"ENSG00000005884.17"	63.0122164188408	-2.08895142206667	0.265589970617753	-7.86532494885947	3.68140568930889e-15	1.32981603232899e-13
"ENSG00000006377.10"	28.774738880966	-1.25644943991769	0.374773710657029	-3.35255489963521	0.000800693597681534	0.00469130966959527
"ENSG00000008516.16"	220.063843358953	-1.00567326681663	0.149103464345651	-6.744801478826	1.53236396250646e-11	3.8359018125606e-10
"ENSG00000008517.16"	96.4223934018855	-6.35193926821028	0.571402938092141	-11.1163923822632	1.04409018271812e-28	9.38866626005892e-27
"ENSG00000010030.13"	24.8449636835037	-2.0500818877779	0.4167583269147	-4.91911440127624	8.69366498710739e-07	1.02775737409356e-05
"ENSG00000010327.10"	213.08629811038	-1.61404437957604	0.14119464672837	-11.4313425967285	2.91565455743683e-30	2.84366031798012e-28
"ENSG00000010810.17"	45.3617415475335	-1.94989021356881	0.325681629440103	-5.98710531177634	2.1360848431651e-09	4.0093885605463e-08
"ENSG00000012779.10"	212.588838275579	-2.05946964682749	0.15255746159095	-13.499632370323	1.57158393459489e-41	2.35811984695014e-39
"ENSG00000023902.13"	1192.6434360454	-1.64103343676024	0.0787289750744728	-20.844084851961	1.72475011826074e-96	1.06673691460624e-93
"ENSG00000025708.13"	1682.41710777764	-2.15844402264456	0.085589056164045	-25.2186917274512	2.49868289879472e-140	3.52008894153537e-137
"ENSG00000035720.7"	237.460907210815	-1.09744368374238	0.135744463046669	-8.08462945089024	6.23534855782062e-16	2.38485624025966e-14
"ENSG00000038427.15"	27411.2488151186	-1.09561055916232	0.0613772455546356	-17.8504354384403	2.86791581715161e-71	1.05397984480189e-68
"ENSG00000041353.9"	63.2006432971319	-1.54221184364365	0.25815274561271	-5.97402843802145	2.31465426225301e-09	4.31898475218631e-08
"ENSG00000042980.12"	137.675106819037	-2.3702675196981	0.204981668885833	-11.5633145762817	6.3220470683711e-31	6.51684835608757e-29
"ENSG00000044524.10"	72.5020846954372	-1.95972100009261	0.2419460022103	-8.09982798719368	5.50369508376105e-16	2.11458636263656e-14
"ENSG00000046889.18"	26.9416687319074	-2.99764632730536	0.455006849453799	-6.58813451029102	4.45387063004264e-11	1.06548350411907e-09
"ENSG00000049089.13"	69.8297500374152	-2.66746969849864	0.286476361851136	-9.31130820449598	1.26267410398691e-20	6.9304956556061e-19
"ENSG00000055332.16"	6122.8882728988	-1.10652153911621	0.0735559388623732	-15.0432657951191	3.82219143564769e-51	8.0769275354295e-49
"ENSG00000056558.10"	95.9462859932372	-1.36545903340835	0.211512786545809	-6.45568079219939	1.07733478840756e-10	2.44794404699274e-09
"ENSG00000057657.15"	101.612123272655	-1.29023725058105	0.203631372544687	-6.33614179611696	2.3558998864627e-10	5.10606062571977e-09
"ENSG00000059377.15"	114.91512010633	-1.10340402165004	0.188162815897311	-5.86409177811317	4.51597655596725e-09	8.08729756399842e-08
"ENSG00000059378.12"	667.447713850094	-1.81363966326384	0.108749115325055	-16.6772819975851	1.91746865191102e-62	5.52536023581359e-60
"ENSG00000064300.8"	193.691962114441	-1.93548947089577	0.166455397039096	-11.6276762743906	2.98102244370483e-31	3.11081346203569e-29
"ENSG00000065717.14"	47.6770545714624	1.11891687418249	0.278610505582077	4.016061317734	5.91788643935172e-05	0.000466912770158933
"ENSG00000066294.14"	99.2906037098959	-1.29049235947919	0.203719103172437	-6.33466542598543	2.37856847351086e-10	5.14841136007149e-09
"ENSG00000066923.17"	427.845428003505	-1.22933819191922	0.106678702117614	-11.5237452979496	1.00160662091666e-30	1.01594962772819e-28
"ENSG00000068079.7"	1111.44021943049	-1.30096394053177	0.0930038622444006	-13.9882786492568	1.83807040195393e-44	3.17073396277196e-42
"ENSG00000069482.6"	593.394705765161	1.02075497145811	0.105406437208167	9.68399083105539	3.52674183874425e-22	2.13439426126198e-20
"ENSG00000069535.13"	20.9859806446251	-2.24208599579174	0.479779151158524	-4.67316262154737	2.96596736248486e-06	3.16677896327963e-05
"ENSG00000070087.13"	111.386001999825	-1.87779951024657	0.209261819935153	-8.97344537493018	2.8738130687251e-19	1.44020062839389e-17
"ENSG00000070915.9"	1095.74630624603	-3.40865799052438	0.0909953021967285	-37.4597139438582	4.1735641448441e-307	2.64583098962391e-303
"ENSG00000071575.11"	566.834231889911	-1.10075909583995	0.0959908032189066	-11.4673391504983	1.92487258425969e-30	1.90667652311161e-28
"ENSG00000072694.20"	701.838970033404	-1.64098858302325	0.0897562426518361	-18.2827236807208	1.13608340160865e-74	4.50137545281129e-72
"ENSG00000072818.11"	57.8222907149699	-1.38683820696098	0.263930481613475	-5.2545586947096	1.48379821395452e-07	1.99080185764331e-06
"ENSG00000073464.11"	22.2332893883209	-1.49155826122278	0.422951825609872	-3.52654409062319	0.000421021057525251	0.00266174320038028
